 loss ,acc,val_loss,val_acc
 0.0563 ,0.9924,0.0396,0.9963
 0.0179 ,0.9982,0.0312,0.9977
 0.0141 ,0.9987,0.0209,0.9982
 0.0083 ,0.9992,0.0224,0.9981
 0.0067 ,0.9994,0.0247,0.9979
 0.0062 ,0.9995,0.0224,0.9985
 0.0052 ,0.9995,0.0201,0.9984
 0.0057 ,0.9995,0.0217,0.9981
 0.0030 ,0.9997,0.0189,0.9984
 0.0028 ,0.9998,0.0239,0.9982
 0.0030 ,0.9998,0.0192,0.9985
 0.0028 ,0.9998,0.0218,0.9984
 0.0028 ,0.9998,0.0192,0.9984
 0.0028 ,0.9998,0.0192,0.9984
 0.0028 ,0.9998,0.0192,0.9984
 0.0028 ,0.9998,0.0192,0.9984
 0.0028 ,0.9998,0.0192,0.9984
 0.0028 ,0.9998,0.0192,0.9984
 0.0028 ,0.9998,0.0192,0.9984
 0.0028 ,0.9998,0.0192,0.9984
